"filename", "language", "pip requirements", "Python", "C++", "Markdown", "reStructuredText", "Ini", "CMake", "toml", "Shell Script", "XML", "CSS", "YAML", "JSON", "comment", "blank", "total"
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\noxfile.py", "Python", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 108
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\pybind11\__init__.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\pybind11\__main__.py", "Python", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 63
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\pybind11\_version.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\pybind11\commands.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 38
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\pybind11\setup_helpers.py", "Python", 0, 364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 101, 501
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\pyproject.toml", "toml", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 13, 96
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\setup.cfg", "Ini", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\setup.py", "Python", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 29, 151
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\conftest.py", "Python", 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 58, 223
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\constructor_stats.h", "C++", 0, 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 20, 323
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\cross_module_gil_utils.cpp", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 20, 109
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\cross_module_interleaved_error_already_set.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 52
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\eigen_tensor_avoid_stl_array.cpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 15
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\env.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 28
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\extra_python_package\pytest.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\extra_python_package\test_files.py", "Python", 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 57, 294
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\extra_setuptools\pytest.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\extra_setuptools\test_setuphelper.py", "Python", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28, 152
