t [s],V [V],discharge cap [Ahr]
1.000064888009778,3.9571218263668864,0.000277725363414
2.015612769854214,3.9566288507956346,0.000559750634054
3.015642595612929,3.9561461120849395,0.000837470562523
4.031216251595316,3.9556586218684884,0.001119498300393
5.046853796562986,3.955173835797901,0.001401547300399
6.062472414431297,3.9546917714941987,0.001683597667208
7.062489814268584,3.9542197577750167,0.001961315294588
8.07810571537634,3.9537430546477395,0.002243362964504
9.078142899445927,3.9532762951818903,0.002521073225494
10.078213025490356,3.9528120723617404,0.002798807462503
11.093704501972216,3.952343325334111,0.003080816295352
12.109297260490528,3.951877151087507,0.003362856371538
13.124907813289225,3.9514207059553046,0.003640552168774
14.124973017084823,3.950966751721263,0.003918261637916
15.140604441822536,3.9505012072243826,0.004204662037339
16.14064513963594,3.950052289792053,0.004482384596612
17.15615874618763,3.9495989439306003,0.004764408549192
18.17177536909155,3.9491550502900505,0.005042088840082
19.18737170651583,3.948699738300526,0.005328508026542
20.18739269027156,3.948260714657169,0.005606227449254
21.202988290862265,3.947817323249975,0.005888267139255
22.21861309913516,3.9473763770558588,0.006170319621363
23.218619391331508,3.946944615209797,0.006448028327054
24.23425653530131,3.9465085186844213,0.00673007877432
25.249839193685823,3.9460748755990336,0.007012106675421
26.26544403727738,3.9456436356942937,0.007294134496555
27.265545010082786,3.945221296305058,0.007571867547533
28.281091759108243,3.944794776012988,0.007853898354154
29.296675600436473,3.9443706065362147,0.008135933614254
30.296701982625997,3.9439616945673976,0.008409310596384
31.31229077126542,3.9435356786187006,0.008695690386686
32.3123095445204,3.943124832753647,0.00897340334566
33.3278958920853,3.9427098774293747,0.009255435394048
34.34351929185319,3.9422971900449126,0.009537477741609
35.35913622051798,3.941886765123682,0.009819524139547
36.374799344137145,3.941478579884886,0.010101580237176
37.39037414296346,3.9410726869467148,0.010383599323373
38.40599518185638,3.94066898465016,0.010665641784923
39.42146350071138,3.9402675513169334,0.01094764261267
40.42163628220996,3.9398743009828974,0.011225402237959
41.437256088034445,3.9394771680189167,0.011507433044249
42.437404308413626,3.939088179483499,0.011785183904035
43.45292028085274,3.938695351595244,0.012067201488537
44.46844509028236,3.938310671177462,0.012344869746916
45.46845279098372,3.937922021787345,0.012626924763883
46.48419629462547,3.937535453506433,0.012909001631996
47.49965444317205,3.9371569726698437,0.013186671910986
48.51538148585133,3.9367686893146048,0.013473085585867
49.53092454569641,3.9363884241374087,0.013755122773342
50.5311151164629,3.936015923239357,0.01403289122788
51.54653546093548,3.9356397915562975,0.014314877574487
52.56219181771563,3.935265602519806,0.014596927903438
53.57776397496848,3.9348934542779084,0.014878958354245
54.59314791384715,3.934597143779527,0.015104608015371
55.59337389272536,3.9341607402529384,0.01543872303255
56.60903593365027,3.933794481831162,0.015720786236408
57.62462482253917,3.9334358088760357,0.01599848333337
58.640237375314726,3.9330678923055533,0.016284868459248
59.65585117118368,3.932707499857691,0.016566914372755
60.67145354863834,3.9323490284550995,0.01684896063542
61.67146976553192,3.931997927213627,0.017126675223427
62.67149044352677,3.9316486632354217,0.017404390266031
63.687059478008734,3.9312958408112473,0.017686420255949
64.68709440145284,3.9309502498039706,0.017964130275047
65.70268540059301,3.930601105712461,0.018246176490046
66.7183596719529,3.9302537845231997,0.018528240369428
67.73368399247359,3.9300569127901923,0.018688787488188
68.73389493393175,3.9295751770944185,0.019083686140722
69.74940862068301,3.9292280812214453,0.019370032846539
70.7495074331124,3.9288931711560053,0.019647784413481
71.76513889293743,3.928554839079744,0.019929840693476
72.76521394624315,3.9282234331143737,0.02020756459089
73.7807792213701,3.927888634785544,0.020489592742674
74.79637205507551,3.927555590438809,0.020771613333411
75.79637518941365,3.927229336078036,0.021049318039846
76.79639544134827,3.926904733355195,0.021327037250955
77.81197062112255,3.9265818098487113,0.021604737461827
78.81197674289483,3.9262604912226213,0.021882472843334
79.8275828195548,3.9259308746669137,0.022168859980678
80.84319303150532,3.9256079408487174,0.022450906072198
81.84321922823334,3.925291587815694,0.022728622642942
82.84327211638193,3.9249768265760885,0.023006346245523
83.858802479632,3.9246588189384584,0.023288368591217
84.87440510771033,3.9243424127110043,0.023570413357742
85.8744783665506,3.9240324199864296,0.023848148072513
86.89002966690187,3.9237240271839946,0.024125842330614
87.89006199388479,3.923417152979366,0.024403559335166
88.90565532382506,3.9231023093686326,0.024689941377427
89.92124963119763,3.9227938072370745,0.024971993979679
90.9369370151878,3.922486848503272,0.025254060331791
91.93694027985023,3.9221861250898042,0.02553178613744
92.95248706897549,3.921882266662042,0.025813814624039
93.96810147636621,3.9215798998072793,0.026095873964629
94.98372748763269,3.9212790495259706,0.02637793068692
95.99933895270152,3.9209797202748837,0.026659970099075
96.99936067329084,3.92068643023312,0.026937692457722
98.01498014327963,3.9203900367298004,0.027219745014032
99.03056242071617,3.9200951337526577,0.027501777891241
100.03058181050538,3.919806168070218,0.027779496076871
101.04618800746474,3.9195141376792964,0.028061541051184
102.0618042644581,3.9192235329521212,0.028343597791672
103.077344061183,3.9189343799621907,0.028625630548035
104.07763141779736,3.918650958393837,0.028903423548234
105.09301536670098,3.918369000159971,0.029181118481777
106.10865225503464,3.918079684144329,0.029467455240991
107.12424293337652,3.9178004558892963,0.029745157855931
108.12429436289536,3.9175225408456344,0.030022880168932
109.13996184736632,3.9172373280604935,0.030309279943503
110.15549507775116,3.9169578402828464,0.030591301148908
111.17111140491916,3.9166796647432207,0.030873354418571
112.17112955662743,3.916407076398413,0.031151064077641
113.18672416474844,3.916131544498373,0.031433110911957
114.20234058214092,3.915857334528723,0.031715149350257
115.21798808689314,3.9155844044558057,0.031997212427673
116.233577737678,3.91531278486408,0.032279258279321
117.23358129306388,3.9150465912841215,0.032556972466968
118.24924943918136,3.9147774963448025,0.032839032695171
119.26479877464304,3.9145096904552252,0.033121066940874
120.26483172317266,3.91424719964427,0.033398794750135
121.28042808565932,3.913981866472027,0.033680836987982
122.29604235270077,3.913717767204951,0.03396288068427
123.31154480649926,3.9134549206537996,0.03424489528749
124.31171747772342,3.9131972269755355,0.034522656443224
125.32725780075803,3.912936789155173,0.034804665972878
126.34288021306868,3.912677517036312,0.035086709595471
127.35851998858698,3.9124194240788386,0.035368762727111
128.37412678704314,3.9121625123357626,0.035650812932659
129.37414984095037,3.9119106908637273,0.035928529025613
