t [s],V [V],charge cap [Ahr]
1.015602056656372,3.506156836223617,0.016428188494246
2.031216504146858,3.5079093872104785,0.016710153902717
3.031369005178271,3.5096233372297103,0.016987829432341
4.046891293333796,3.5113515362223624,0.01726976613962
5.06246981141533,3.5130677969258883,0.01755172586625
6.062487807736946,3.514745993120271,0.017829360513872
7.062494340532016,3.5164126265862308,0.018106998616098
8.078236560980594,3.5180937238424534,0.018389010828396
9.093755390529513,3.519762570995328,0.018670950093177
10.1093057635732,3.5214197581176974,0.01895290434853
11.124905915489698,3.523065335363548,0.019234871255601
12.124907591198095,3.5246743131336005,0.019512512299328
13.12509185627311,3.526272364959965,0.019790201697969
14.140513970148794,3.5278833011601654,0.02007211097846
15.156116041842584,3.5294831815450967,0.020354085044062
16.156119131068465,3.531047330341338,0.020631718284672
17.17160293345363,3.5326244867489915,0.020913650153076
18.171897783715632,3.534167058097847,0.021191362832299
19.187345932377877,3.5357219090366163,0.021473282068175
20.202819203556544,3.5372656832046894,0.02175520675441
21.20296324854542,3.5387753766464325,0.0220328791363
22.20298708941096,3.5402742599582195,0.022310522433546
23.218726928934696,3.541785863946424,0.022592530453902
24.234160045189377,3.5432632124729295,0.02287012753872
25.234189880973037,3.5447530827694096,0.023152091294211
26.234305585437607,3.5461868866389397,0.023425384111415
27.24994395746338,3.5476784731461146,0.023711742307891
28.265484190273487,3.5491364290898857,0.023993698439829
29.281030011991376,3.5505838458065715,0.024275658066907
30.296679606944977,3.5520207772178765,0.024557619979263
31.312265538474588,3.5534473183685233,0.02483959114138
32.32786825677744,3.55486349932239,0.02512156578852
33.34327638084001,3.555794718757822,0.025308110031919
34.343514545040925,3.557643605755379,0.025681183741964
35.35910907296233,3.5590290882513154,0.025963142455625
36.35923800534406,3.5603836495628123,0.026240825464295
37.37458280683085,3.561748797194179,0.026522729276375
38.37472752850362,3.5630836806657715,0.026800406520604
39.390330888403064,3.5644293060027064,0.027082375897401
40.40571492753121,3.5652319889186983,0.027251571940976
41.405948274745235,3.567070616198537,0.027641988551929
42.421585057816955,3.5683868768242344,0.027923967198795
43.421587821232066,3.569653491250797,0.028197301916347
44.43721173227223,3.5709703257817234,0.028483579320067
45.45277656630153,3.5722575862747656,0.028765536031392
46.468409585005766,3.5735353526652163,0.029047509353703
47.468450277806696,3.574784225546333,0.029325158103415
48.484023668128,3.5760431043488867,0.029607117972123
49.49963082246976,3.5772926821662057,0.02988910086178
50.515111822882325,3.57851369394218,0.030166698239918
51.51527055441811,3.579744963295278,0.030448724785237
52.53085648594772,3.5809666870386345,0.030730681113163
53.53087302363959,3.582160796569846,0.031008335653985
54.54651086935567,3.583364423233675,0.031290309912957
55.546531898223655,3.584540738437931,0.031567963761626
56.54653893226606,3.58570823082962,0.031845600060337
57.561946314482576,3.586884818273546,0.032127515395844
58.56198317775387,3.588034883514304,0.032405163479799
59.5620844462952,3.589176454007419,0.032682836076067
60.57767182141714,3.5903269991183837,0.032964818953798
61.57772009307778,3.5914513085866764,0.03324246981816
62.59332413467359,3.5925844740465447,0.033524441711877
63.59341029562026,3.5936744873252735,0.033797731438316
64.60890595250488,3.594807773873743,0.034084044509673
65.62454765782543,3.595915291067615,0.034366024902916
66.64013692264982,3.597014257200043,0.034647992710249
67.655757445258,3.5981048591516283,0.034929982830133
68.67136795795692,3.5991869874379874,0.035211953786346
69.67139618473664,3.6002443796648596,0.035489604937507
70.68699387051625,3.601310019072773,0.035771584032857
71.70260265391185,3.60236737174509,0.036053552946811
72.71825313106076,3.6034165635922792,0.036335531881865
73.71831448026435,3.604441688252151,0.03661318247421
74.73384191622998,3.6054588016160447,0.036890789681546
75.74944406812337,3.606499647409059,0.037177105257136
76.76505875621258,3.6075166815398894,0.037459088687618
77.78054706982375,3.608525625806573,0.037741033508465
78.78069255840497,3.6095115568860936,0.038018705508486
79.79644987642325,3.610505118323597,0.038300722301617
80.81176339506385,3.6114904294094337,0.038582612363776
81.81194293337651,3.612453499582677,0.038860308646172
82.8275090656364,3.613408877316119,0.039137942741531
83.82764221350823,3.6143716874580485,0.039419947176686
84.84330119682441,3.61532679289359,0.039701926122105
85.85880220703058,3.616274218028696,0.039983872138721
86.87439321118322,3.6172142023151403,0.04026584238887
87.8899802203946,3.618146678711831,0.040547802897466
88.90560665270885,3.6190718234312707,0.040829793099182
89.90562949609219,3.6199755082303526,0.041107441187596
90.92120774851266,3.620885962094535,0.041389405929543
91.93684718318276,3.62178916777632,0.041671384146275
92.9524449040497,3.622685094309868,0.041953351931018
93.95247183761128,3.6235602621000513,0.042231000781492
94.96807241558801,3.6244419734703226,0.042512978346081
95.98368612123245,3.6253165876443547,0.042794960339281
96.99929494974032,3.6261840991640977,0.043076930439434
98.01477493763326,3.6270444774375163,0.043358863589959
99.01489686257726,3.627885032308673,0.043636534908863
100.01490390163214,3.6287187569613564,0.043914170422264
101.03052176261696,3.6295586912208706,0.044196150443668
102.04620851002302,3.630391813746202,0.044478142169607
103.04624950357235,3.631205457483525,0.04475579062897
104.06177995704697,3.6320250067254913,0.045037742862558
105.06188155139904,3.632825544378407,0.045315412433964
106.07735361457163,3.633631772212106,0.045597352364119
107.07736757585222,3.63441921917856,0.045874990193397
108.07737346203822,3.635200294826828,0.046152633972234
109.09296400003085,3.6359870533839134,0.046434607189072
110.10858433216504,3.636767339374166,0.046716592192963
111.1242249247165,3.6375292996687882,0.046994236800787
112.13981705667564,3.638308526869268,0.047280549054413
113.155437453972,3.639069538327102,0.047562530549527
114.17105493902132,3.6398242132921075,0.047844512804218
115.17106497553527,3.6405611230893524,0.048122156175831
116.17106814496074,3.6412919568994426,0.048399795678309
117.18665423187704,3.642028019740314,0.048681764920345
118.20212755318042,3.642757827457089,0.048963703266102
119.20225635022535,3.6434706302313447,0.049241388575741
120.20230374971564,3.6441774097073423,0.049519029820553
121.21788522515644,3.6448891844835045,0.049800993879496
122.23348523171124,3.6455841646161433,0.050078633540236
123.24918619449168,3.646294840134961,0.050364968123665
124.2492130679036,3.6469781176819884,0.050642619670992
125.26471909058311,3.6476661129127574,0.050924566294185
126.26473082131304,3.6483378780949764,0.051202207796947
127.28034065231556,3.6490143561475294,0.051484184419851
128.29599219210883,3.649685069985243,0.051766168695656
129.3115839581574,3.650349985230227,0.052048129763722
130.32718506244385,3.6510092326191237,0.052330106701156
131.32733800457294,3.6516528925393787,0.05260778545171
132.34281399752462,3.652290942919051,0.052885398652744
133.35842109672916,3.6529433105458513,0.053171711687588
134.3740628571869,3.653580217584794,0.053453696000365
135.389650297471,3.6542115667624566,0.053735662106747
